id,longitude,latitude,Drugs,FoodBanks,PublicArt,CodeViolation,Prostitution
0,-122.459696,47.734145,0.0,0.0,0.0,0.0,0.0
1,-122.44286766666666,47.734145,0.0,0.0,0.0,0.0,0.0
2,-122.42603933333332,47.734145,0.0,0.0,0.0,0.0,0.0
3,-122.409211,47.734145,0.0,0.0,0.0,0.0,0.0
4,-122.39238266666666,47.734145,0.0,0.0,0.0,0.0,0.0
5,-122.37555433333333,47.734145,5.0,0.0,0.0,96.0,0.0
6,-122.35872599999999,47.734145,129.0,0.0,6.0,287.0,961.0
7,-122.34189766666667,47.734145,14.0,0.0,0.0,222.0,2.0
8,-122.32506933333333,47.734145,27.0,0.0,0.0,177.0,0.0
9,-122.308241,47.734145,144.0,1.0,1.0,398.0,11.0
10,-122.29141266666666,47.734145,22.0,0.0,0.0,217.0,1.0
11,-122.27458433333334,47.734145,0.0,0.0,0.0,0.0,0.0
12,-122.257756,47.734145,0.0,0.0,0.0,0.0,0.0
13,-122.24092766666666,47.734145,0.0,0.0,0.0,0.0,0.0
14,-122.22409933333333,47.734145,0.0,0.0,0.0,0.0,0.0
15,-122.459696,47.718460799999995,0.0,0.0,0.0,0.0,0.0
16,-122.44286766666666,47.718460799999995,0.0,0.0,0.0,0.0,0.0
17,-122.42603933333332,47.718460799999995,0.0,0.0,0.0,0.0,0.0
18,-122.409211,47.718460799999995,0.0,0.0,0.0,0.0,0.0
19,-122.39238266666666,47.718460799999995,0.0,0.0,0.0,14.0,0.0
20,-122.37555433333333,47.718460799999995,15.0,0.0,0.0,122.0,0.0
21,-122.35872599999999,47.718460799999995,192.0,0.0,0.0,383.0,481.0
22,-122.34189766666667,47.718460799999995,45.0,0.0,1.0,191.0,12.0
23,-122.32506933333333,47.718460799999995,125.0,0.0,2.0,286.0,3.0
24,-122.308241,47.718460799999995,68.0,0.0,4.0,330.0,5.0
25,-122.29141266666666,47.718460799999995,10.0,0.0,0.0,249.0,1.0
26,-122.27458433333334,47.718460799999995,0.0,0.0,0.0,0.0,0.0
27,-122.257756,47.718460799999995,0.0,0.0,0.0,0.0,0.0
28,-122.24092766666666,47.718460799999995,0.0,0.0,0.0,0.0,0.0
29,-122.22409933333333,47.718460799999995,0.0,0.0,0.0,0.0,0.0
30,-122.459696,47.7027766,0.0,0.0,0.0,0.0,0.0
31,-122.44286766666666,47.7027766,0.0,0.0,0.0,0.0,0.0
32,-122.42603933333332,47.7027766,0.0,0.0,0.0,0.0,0.0
33,-122.409211,47.7027766,7.0,0.0,0.0,111.0,0.0
34,-122.39238266666666,47.7027766,35.0,0.0,0.0,241.0,2.0
35,-122.37555433333333,47.7027766,50.0,0.0,0.0,497.0,3.0
36,-122.35872599999999,47.7027766,201.0,1.0,1.0,654.0,620.0
37,-122.34189766666667,47.7027766,78.0,0.0,1.0,284.0,20.0
38,-122.32506933333333,47.7027766,17.0,0.0,0.0,257.0,1.0
39,-122.308241,47.7027766,11.0,0.0,0.0,316.0,6.0
40,-122.29141266666666,47.7027766,8.0,0.0,0.0,172.0,0.0
41,-122.27458433333334,47.7027766,4.0,0.0,0.0,13.0,0.0
42,-122.257756,47.7027766,0.0,0.0,0.0,0.0,0.0
43,-122.24092766666666,47.7027766,0.0,0.0,0.0,0.0,0.0
44,-122.22409933333333,47.7027766,0.0,0.0,0.0,0.0,0.0
45,-122.459696,47.6870924,0.0,0.0,0.0,0.0,0.0
46,-122.44286766666666,47.6870924,0.0,0.0,0.0,0.0,0.0
47,-122.42603933333332,47.6870924,0.0,0.0,0.0,0.0,0.0
48,-122.409211,47.6870924,5.0,0.0,0.0,184.0,1.0
49,-122.39238266666666,47.6870924,33.0,1.0,0.0,456.0,3.0
50,-122.37555433333333,47.6870924,34.0,0.0,0.0,449.0,4.0
51,-122.35872599999999,47.6870924,25.0,1.0,0.0,341.0,10.0
52,-122.34189766666667,47.6870924,16.0,0.0,1.0,206.0,1.0
53,-122.32506933333333,47.6870924,66.0,0.0,0.0,581.0,2.0
54,-122.308241,47.6870924,10.0,0.0,0.0,327.0,0.0
55,-122.29141266666666,47.6870924,12.0,0.0,0.0,258.0,0.0
56,-122.27458433333334,47.6870924,11.0,0.0,1.0,154.0,1.0
57,-122.257756,47.6870924,2.0,0.0,0.0,6.0,0.0
58,-122.24092766666666,47.6870924,0.0,0.0,0.0,0.0,0.0
59,-122.22409933333333,47.6870924,0.0,0.0,0.0,0.0,0.0
60,-122.459696,47.6714082,0.0,0.0,0.0,0.0,0.0
61,-122.44286766666666,47.6714082,0.0,0.0,0.0,0.0,0.0
62,-122.42603933333332,47.6714082,0.0,0.0,0.0,10.0,1.0
63,-122.409211,47.6714082,11.0,0.0,0.0,200.0,0.0
64,-122.39238266666666,47.6714082,78.0,0.0,3.0,250.0,5.0
65,-122.37555433333333,47.6714082,50.0,0.0,0.0,473.0,2.0
66,-122.35872599999999,47.6714082,126.0,0.0,3.0,433.0,66.0
67,-122.34189766666667,47.6714082,36.0,1.0,0.0,333.0,1.0
68,-122.32506933333333,47.6714082,497.0,2.0,0.0,810.0,6.0
69,-122.308241,47.6714082,24.0,0.0,0.0,362.0,6.0
70,-122.29141266666666,47.6714082,8.0,0.0,1.0,204.0,0.0
71,-122.27458433333334,47.6714082,0.0,0.0,0.0,52.0,0.0
72,-122.257756,47.6714082,0.0,0.0,0.0,4.0,0.0
73,-122.24092766666666,47.6714082,0.0,0.0,0.0,0.0,0.0
74,-122.22409933333333,47.6714082,0.0,0.0,0.0,0.0,0.0
75,-122.459696,47.655724,0.0,0.0,0.0,0.0,0.0
76,-122.44286766666666,47.655724,0.0,0.0,0.0,0.0,0.0
77,-122.42603933333332,47.655724,0.0,0.0,0.0,117.0,0.0
78,-122.409211,47.655724,8.0,0.0,0.0,319.0,0.0
79,-122.39238266666666,47.655724,22.0,0.0,0.0,358.0,0.0
80,-122.37555433333333,47.655724,13.0,0.0,0.0,328.0,3.0
81,-122.35872599999999,47.655724,44.0,0.0,1.0,523.0,8.0
82,-122.34189766666667,47.655724,39.0,0.0,0.0,315.0,3.0
83,-122.32506933333333,47.655724,11.0,0.0,1.0,254.0,1.0
84,-122.308241,47.655724,7.0,0.0,1.0,67.0,0.0
85,-122.29141266666666,47.655724,0.0,0.0,0.0,19.0,0.0
86,-122.27458433333334,47.655724,0.0,0.0,0.0,1.0,0.0
87,-122.257756,47.655724,0.0,0.0,0.0,0.0,0.0
88,-122.24092766666666,47.655724,0.0,0.0,0.0,0.0,0.0
89,-122.22409933333333,47.655724,0.0,0.0,0.0,0.0,0.0
90,-122.459696,47.640039800000004,0.0,0.0,0.0,0.0,0.0
91,-122.44286766666666,47.640039800000004,0.0,0.0,0.0,0.0,0.0
92,-122.42603933333332,47.640039800000004,0.0,0.0,0.0,5.0,0.0
93,-122.409211,47.640039800000004,8.0,0.0,0.0,68.0,0.0
94,-122.39238266666666,47.640039800000004,5.0,0.0,0.0,75.0,1.0
95,-122.37555433333333,47.640039800000004,30.0,0.0,0.0,428.0,3.0
96,-122.35872599999999,47.640039800000004,91.0,0.0,0.0,431.0,17.0
97,-122.34189766666667,47.640039800000004,30.0,0.0,1.0,191.0,5.0
98,-122.32506933333333,47.640039800000004,20.0,1.0,2.0,283.0,0.0
99,-122.308241,47.640039800000004,9.0,0.0,0.0,294.0,1.0
100,-122.29141266666666,47.640039800000004,18.0,0.0,0.0,129.0,0.0
101,-122.27458433333334,47.640039800000004,0.0,0.0,0.0,0.0,0.0
102,-122.257756,47.640039800000004,0.0,0.0,0.0,0.0,0.0
103,-122.24092766666666,47.640039800000004,0.0,0.0,0.0,0.0,0.0
104,-122.22409933333333,47.640039800000004,0.0,0.0,0.0,0.0,0.0
105,-122.459696,47.6243556,0.0,0.0,0.0,0.0,0.0
106,-122.44286766666666,47.6243556,0.0,0.0,0.0,0.0,0.0
107,-122.42603933333332,47.6243556,0.0,0.0,0.0,0.0,0.0
108,-122.409211,47.6243556,0.0,0.0,0.0,0.0,0.0
109,-122.39238266666666,47.6243556,0.0,0.0,0.0,0.0,0.0
110,-122.37555433333333,47.6243556,12.0,0.0,0.0,23.0,3.0
111,-122.35872599999999,47.6243556,1399.0,1.0,8.0,210.0,296.0
112,-122.34189766666667,47.6243556,3369.0,2.0,0.0,389.0,293.0
113,-122.32506933333333,47.6243556,1045.0,2.0,2.0,798.0,13.0
114,-122.308241,47.6243556,176.0,0.0,3.0,956.0,25.0
115,-122.29141266666666,47.6243556,3.0,0.0,0.0,198.0,1.0
116,-122.27458433333334,47.6243556,0.0,0.0,0.0,0.0,0.0
117,-122.257756,47.6243556,0.0,0.0,0.0,0.0,0.0
118,-122.24092766666666,47.6243556,0.0,0.0,0.0,0.0,0.0
119,-122.22409933333333,47.6243556,0.0,0.0,0.0,0.0,0.0
120,-122.459696,47.608671400000006,0.0,0.0,0.0,0.0,0.0
121,-122.44286766666666,47.608671400000006,0.0,0.0,0.0,0.0,0.0
122,-122.42603933333332,47.608671400000006,0.0,0.0,0.0,0.0,0.0
123,-122.409211,47.608671400000006,0.0,0.0,0.0,0.0,0.0
124,-122.39238266666666,47.608671400000006,1.0,0.0,0.0,14.0,0.0
125,-122.37555433333333,47.608671400000006,0.0,0.0,0.0,0.0,0.0
126,-122.35872599999999,47.608671400000006,15.0,0.0,0.0,1.0,1.0
127,-122.34189766666667,47.608671400000006,2348.0,2.0,30.0,217.0,62.0
128,-122.32506933333333,47.608671400000006,1077.0,5.0,4.0,552.0,242.0
129,-122.308241,47.608671400000006,326.0,2.0,5.0,920.0,75.0
130,-122.29141266666666,47.608671400000006,13.0,0.0,0.0,146.0,1.0
131,-122.27458433333334,47.608671400000006,0.0,0.0,0.0,0.0,0.0
132,-122.257756,47.608671400000006,0.0,0.0,0.0,0.0,0.0
133,-122.24092766666666,47.608671400000006,0.0,0.0,0.0,0.0,0.0
134,-122.22409933333333,47.608671400000006,0.0,0.0,0.0,0.0,0.0
135,-122.459696,47.5929872,0.0,0.0,0.0,0.0,0.0
136,-122.44286766666666,47.5929872,0.0,0.0,0.0,0.0,0.0
137,-122.42603933333332,47.5929872,0.0,0.0,0.0,23.0,0.0
138,-122.409211,47.5929872,7.0,0.0,1.0,168.0,0.0
139,-122.39238266666666,47.5929872,30.0,0.0,0.0,254.0,0.0
140,-122.37555433333333,47.5929872,5.0,0.0,0.0,21.0,0.0
141,-122.35872599999999,47.5929872,2.0,0.0,0.0,1.0,0.0
142,-122.34189766666667,47.5929872,93.0,0.0,0.0,53.0,25.0
143,-122.32506933333333,47.5929872,159.0,1.0,3.0,544.0,42.0
144,-122.308241,47.5929872,120.0,0.0,1.0,607.0,11.0
145,-122.29141266666666,47.5929872,14.0,0.0,0.0,86.0,0.0
146,-122.27458433333334,47.5929872,0.0,0.0,0.0,0.0,0.0
147,-122.257756,47.5929872,0.0,0.0,0.0,0.0,0.0
148,-122.24092766666666,47.5929872,0.0,0.0,0.0,0.0,0.0
149,-122.22409933333333,47.5929872,0.0,0.0,0.0,0.0,0.0
150,-122.459696,47.57730300000001,0.0,0.0,0.0,0.0,0.0
151,-122.44286766666666,47.57730300000001,0.0,0.0,0.0,0.0,0.0
152,-122.42603933333332,47.57730300000001,3.0,0.0,0.0,93.0,0.0
153,-122.409211,47.57730300000001,0.0,0.0,0.0,189.0,0.0
154,-122.39238266666666,47.57730300000001,20.0,1.0,0.0,340.0,11.0
155,-122.37555433333333,47.57730300000001,25.0,0.0,6.0,400.0,3.0
156,-122.35872599999999,47.57730300000001,5.0,0.0,0.0,79.0,0.0
157,-122.34189766666667,47.57730300000001,54.0,0.0,0.0,29.0,2.0
158,-122.32506933333333,47.57730300000001,93.0,0.0,0.0,246.0,6.0
159,-122.308241,47.57730300000001,80.0,0.0,0.0,334.0,19.0
160,-122.29141266666666,47.57730300000001,81.0,1.0,1.0,458.0,16.0
161,-122.27458433333334,47.57730300000001,6.0,0.0,0.0,43.0,0.0
162,-122.257756,47.57730300000001,0.0,0.0,0.0,0.0,0.0
163,-122.24092766666666,47.57730300000001,0.0,0.0,0.0,0.0,0.0
164,-122.22409933333333,47.57730300000001,0.0,0.0,0.0,0.0,0.0
165,-122.459696,47.561618800000005,0.0,0.0,0.0,0.0,0.0
166,-122.44286766666666,47.561618800000005,0.0,0.0,0.0,0.0,0.0
167,-122.42603933333332,47.561618800000005,0.0,0.0,0.0,0.0,0.0
168,-122.409211,47.561618800000005,1.0,0.0,0.0,156.0,0.0
169,-122.39238266666666,47.561618800000005,63.0,0.0,1.0,562.0,1.0
170,-122.37555433333333,47.561618800000005,30.0,0.0,0.0,389.0,4.0
171,-122.35872599999999,47.561618800000005,5.0,0.0,0.0,119.0,0.0
172,-122.34189766666667,47.561618800000005,77.0,1.0,1.0,42.0,21.0
173,-122.32506933333333,47.561618800000005,41.0,0.0,0.0,292.0,5.0
174,-122.308241,47.561618800000005,32.0,1.0,0.0,459.0,3.0
175,-122.29141266666666,47.561618800000005,143.0,1.0,4.0,750.0,37.0
176,-122.27458433333334,47.561618800000005,14.0,0.0,0.0,263.0,0.0
177,-122.257756,47.561618800000005,0.0,0.0,0.0,0.0,0.0
178,-122.24092766666666,47.561618800000005,0.0,0.0,0.0,0.0,0.0
179,-122.22409933333333,47.561618800000005,0.0,0.0,0.0,0.0,0.0
180,-122.459696,47.54593460000001,0.0,0.0,0.0,0.0,0.0
181,-122.44286766666666,47.54593460000001,0.0,0.0,0.0,0.0,0.0
182,-122.42603933333332,47.54593460000001,0.0,0.0,0.0,0.0,0.0
183,-122.409211,47.54593460000001,3.0,0.0,0.0,48.0,0.0
184,-122.39238266666666,47.54593460000001,40.0,0.0,0.0,446.0,0.0
185,-122.37555433333333,47.54593460000001,76.0,0.0,5.0,330.0,2.0
186,-122.35872599999999,47.54593460000001,26.0,0.0,0.0,353.0,0.0
187,-122.34189766666667,47.54593460000001,15.0,0.0,0.0,21.0,10.0
188,-122.32506933333333,47.54593460000001,105.0,0.0,0.0,182.0,52.0
189,-122.308241,47.54593460000001,69.0,0.0,1.0,142.0,5.0
190,-122.29141266666666,47.54593460000001,76.0,0.0,0.0,465.0,8.0
191,-122.27458433333334,47.54593460000001,187.0,0.0,0.0,389.0,85.0
192,-122.257756,47.54593460000001,0.0,0.0,0.0,0.0,0.0
193,-122.24092766666666,47.54593460000001,0.0,0.0,0.0,0.0,0.0
194,-122.22409933333333,47.54593460000001,0.0,0.0,0.0,0.0,0.0
195,-122.459696,47.53025040000001,0.0,0.0,0.0,0.0,0.0
196,-122.44286766666666,47.53025040000001,0.0,0.0,0.0,0.0,0.0
197,-122.42603933333332,47.53025040000001,0.0,0.0,0.0,0.0,0.0
198,-122.409211,47.53025040000001,2.0,0.0,1.0,21.0,0.0
199,-122.39238266666666,47.53025040000001,20.0,0.0,0.0,328.0,0.0
200,-122.37555433333333,47.53025040000001,66.0,0.0,1.0,389.0,3.0
201,-122.35872599999999,47.53025040000001,69.0,2.0,0.0,490.0,15.0
202,-122.34189766666667,47.53025040000001,20.0,0.0,0.0,147.0,1.0
203,-122.32506933333333,47.53025040000001,77.0,3.0,2.0,300.0,22.0
204,-122.308241,47.53025040000001,0.0,0.0,0.0,0.0,0.0
205,-122.29141266666666,47.53025040000001,30.0,1.0,0.0,372.0,4.0
206,-122.27458433333334,47.53025040000001,176.0,0.0,0.0,659.0,27.0
207,-122.257756,47.53025040000001,2.0,0.0,0.0,26.0,0.0
208,-122.24092766666666,47.53025040000001,0.0,0.0,0.0,0.0,0.0
209,-122.22409933333333,47.53025040000001,0.0,0.0,0.0,0.0,0.0
210,-122.459696,47.51456620000001,0.0,0.0,0.0,0.0,0.0
211,-122.44286766666666,47.51456620000001,0.0,0.0,0.0,0.0,0.0
212,-122.42603933333332,47.51456620000001,0.0,0.0,0.0,0.0,0.0
213,-122.409211,47.51456620000001,0.0,0.0,0.0,21.0,0.0
214,-122.39238266666666,47.51456620000001,9.0,0.0,1.0,231.0,0.0
215,-122.37555433333333,47.51456620000001,3.0,0.0,0.0,60.0,0.0
216,-122.35872599999999,47.51456620000001,6.0,0.0,0.0,0.0,1.0
217,-122.34189766666667,47.51456620000001,1.0,0.0,0.0,0.0,0.0
218,-122.32506933333333,47.51456620000001,4.0,0.0,0.0,0.0,0.0
219,-122.308241,47.51456620000001,6.0,0.0,0.0,0.0,0.0
220,-122.29141266666666,47.51456620000001,8.0,0.0,0.0,7.0,0.0
221,-122.27458433333334,47.51456620000001,26.0,0.0,0.0,347.0,2.0
222,-122.257756,47.51456620000001,20.0,1.0,0.0,310.0,1.0
223,-122.24092766666666,47.51456620000001,4.0,1.0,0.0,12.0,0.0
224,-122.22409933333333,47.51456620000001,0.0,0.0,0.0,0.0,0.0
